"site","lat","long","dates"
3782,56.1373,-5.491,36
3809,51.0741,-3.1804,2
3949,55.4453,-3.7974,1
4090,55.6062,-3.296,1
4107,54.1339,-9.4626,14
4155,55.1873,-1.6839,22
4159,58.4476,-6.3955,19
4164,54.3739,-3.4716,16
4165,55.2172,-2.1658,31
4219,52.0932,1.3373,13
4235,55.6325,-4.6174,6
4236,59.2814,-2.4257,2
4237,55.9513,-3.1762,3
4238,50.1713,-5.1214,6
4241,56.2445,-3.0801,2
4242,57.3148,-5.6492,2
4251,54.8508,-5.7554,3
4252,56.7086,-3.0024,8
4253,56.1533,-5.4436,2
4268,59.9714,-1.3417,15
4289,56.3529,-3.296,1
4290,55.6501,-4.4891,5
4291,57.4469,-4.1712,8
4454,58.0456,-3.8319,3
4455,56.8125,-2.6754,4
4456,53.5914,-1.4108,2
4457,58.2561,-6.8821,33
4462,54.4315,-8.657,2
4484,56.6484,-2.5107,32
4488,56.3344,-3.3076,4
4568,56.6434,-2.5283,6
4569,55.9603,-3.2093,2
4578,56.6403,-3.177,6
4595,56.5543,-3.3713,1
4655,56.6327,-2.5191,10
4792,55.3579,-3.601,1
4830,55.4766,-2.5547,1
4831,57.1706,-2.1064,1
4832,55.8866,-2.1551,4
4952,57.0256,-2.4118,13
4953,59.8791,-1.3055,11
5045,55.9635,-2.6744,10
5046,54.7335,-4.4197,14
5070,57.2298,-7.4245,4
5105,57.1717,-7.4104,4
5122,57.1514,-7.411,1
5185,58.3945,-3.2,18
5187,53.837,-2.6344,11
5188,53.796,-2.5731,1
5189,55.8827,-3.067,23
5190,55.8827,-3.0671,1
5191,53.1725,-2.7532,26
5192,54.0849,-4.6142,5
5198,54.3552,-4.4559,4
5199,57.1195,-2.8496,18
5333,54.2583,-4.4851,2
5334,57.514,-2.0704,2
5335,55.7895,-5.1537,21
5336,55.7864,-5.1513,6
5338,55.9315,-3.0395,7
5339,55.9304,-3.0419,8
5341,53.193,-6.0939,1
5343,56.2319,-4.2028,4
5344,56.2319,-4.2028,9
5345,53.7674,-2.6416,6
5346,53.1547,-2.6988,2
5347,54.2019,-4.6304,1
5348,51.343,-2.8697,1
5349,57.8081,-7.0944,16
5397,57.8081,-7.0944,9
5575,59.1481,-2.5795,4
5576,59.1481,-2.5795,1
5578,57.3697,-5.8252,3
5580,57.3392,-5.84,7
5581,57.3465,-5.8511,1
5604,57.3828,-5.8267,5
5633,57.5806,-5.8206,3
5680,57.4906,-5.8696,3
5686,57.4841,-5.8676,3
5688,57.4118,-5.8229,4
5697,57.381,-5.6772,2
5703,57.4439,-5.8146,2
5715,57.3693,-5.7318,2
5719,57.475,-5.8644,9
5732,54.9741,-3.5215,6
5810,51.52,-0.0775,63
5833,59.0219,-3.1025,1
5855,58.9958,-3.1051,17
5877,59.0065,-3.0062,7
5925,58.9958,-3.1051,2
6019,54.2135,-1.5701,17
6144,55.7224,-3.4328,8
6347,55.8842,-3.39,10
6427,59.2591,-2.9814,12
6529,55.0542,-2.1482,1
6562,54.8902,-1.4527,2
6642,60.1518,-1.088,5
