"startBP","endBP","British Isles MAP","North & Central Europe MAP","Mediterranean Europe MAP"
8000,7900,0.182261013694423,0.268284990577195,0
7900,7800,0.190561349347303,0.155394855411543,0.0335306594882614
7800,7700,0.302909884611071,0.180662294150575,0.101931968420645
7700,7600,0.341663749859903,0.162042159240117,0.144282537035661
7600,7500,0.439710816804538,0.196980008991683,0.191424284634614
7500,7400,0.45963852283032,0.183328508967834,0.175007732541431
7400,7300,0.391643287592024,0.283200204127515,0.172139792086113
7300,7200,0.264234271862277,0.362035051444309,0.1594492723062
7200,7100,0.190834453230227,0.408604285634619,0.144167314201371
7100,7000,0.205146882548996,0.414252657506963,0.13506888586628
7000,6900,0.225664573057278,0.429260786281993,0.133806229114534
6900,6800,0.233666081125507,0.381562232168289,0.114213747260169
6800,6700,0.27437734231853,0.344942111333218,0.130582872869983
6700,6600,0.31235274898507,0.280069988549272,0.182135026033685
6600,6500,0.321632133968832,0.257763791888422,0.213529574148673
6500,6400,0.299968144432563,0.249387473632618,0.219256803230817
6400,6300,0.27256931571256,0.239903652511853,0.24831823292993
6300,6200,0.340170000619544,0.231580351793465,0.280031028317708
6200,6100,0.348467835024881,0.265338549017625,0.30732260442856
6100,6000,0.335111190433149,0.26930656997957,0.32850479529285
6000,5900,0.328665459637225,0.322910823624369,0.342616058145931
5900,5800,0.26669111438392,0.3449801333606,0.377146867045956
5800,5700,0.275784912480274,0.339411257206331,0.377354880822546
5700,5600,0.296813122872826,0.325159808638307,0.451191548900895
5600,5500,0.301809580868809,0.308724217976584,0.397790185800485
5500,5400,0.298448570055544,0.306253080456515,0.374497693848721
5400,5300,0.320136317464868,0.292367344879288,0.403602995514842
5300,5200,0.440331445311713,0.255817969492678,0.387289197243865
5200,5100,0.448229283767719,0.232080987148926,0.39511685332361
5100,5000,0.453427094672701,0.239944279427675,0.411147423402494
5000,4900,0.473051005835375,0.235991730897206,0.411476034764814
4900,4800,0.470608968677584,0.23167421097362,0.42848695297502
4800,4700,0.400728000348655,0.235337358238099,0.45539040504156
4700,4600,0.39968745682901,0.23022722871231,0.469272664335348
4600,4500,0.384039787978739,0.239461311949536,0.471679381101455
4500,4400,0.361799463753444,0.240023012079318,0.443709985026596
4400,4300,0.324912839869316,0.211741242346011,0.426332588474412
4300,4200,0.303914796422424,0.208506499705387,0.422479058912267
4200,4100,0.258433690000916,0.240103728246734,0.369185563530311
4100,4000,0.246044130972421,0.25222605614002,0.393588178913575
4000,3900,0.248963697435459,0.221838229277998,0.371180937658358
3900,3800,0.263062889925585,0.166090802143321,0.409443386115895
3800,3700,0.285241160671569,0.155053578470028,0.42944997869867
3700,3600,0.316209551645653,0.129814818202742,0.429064327697082
3600,3500,0.358800216507745,0.102242129576422,0.396497141073407
3500,3400,0.427198046399235,0.128801523532884,0.410746473255745
3400,3300,0.525486361222103,0.151169552603983,0.423278570501755
3300,3200,0.572265670858914,0.19408477828537,0.418154522054937
3200,3100,0.617785116769597,0.230468249100551,0.456152298649528
3100,3000,0.611432335312034,0.216506140228497,0.580760114603137
3000,2900,0.606456299181315,0.237300004218003,0.748623730146937
2900,2800,0.571059723915491,0.258651745284257,1
2800,2700,0.543060167197724,0.302906580826104,0.909450230807216
2700,2600,0.52542620743195,0.563386653214206,0.961218275400964
2600,2500,0.507029908532353,0.585798045068653,0.994509429958561
